,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
16,Exc L5-6 THEMIS FGF10,6.285402218862249,0.7190635451505017,0.4216867469879518,1.0,0.8474576271186439,1.0,0.977198697068404,1.0,0.6862745098039216,1.0,0.6779661016949153,1.0,0.7843137254901961,0.9817351598173516,0.5714285714285714,1.0,0.7272727272727272,1.0,0.7843137254901961,1.0,0.8450704225352114
17,Inh L5-6 SST TH,4.754887502163468,0.8152173913043479,0.5172413793103449,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,0.8823529411764706,1.0,0.9523809523809524,1.0,0.8620689655172415,1.0,0.9523809523809524
18,Inh L4-5 PVALB MEPE,6.0,0.7110091743119267,0.3424657534246575,1.0,0.9836065573770492,1.0,1.0,1.0,0.9183673469387756,1.0,0.8108108108108109,1.0,0.6000000000000001,0.9831460674157302,0.8536585365853658,1.0,0.9649122807017544,1.0,0.8904109589041096,1.0,1.0
19,Inh L2-6 LAMP5 CA1,8.0,0.9726224783861672,0.8823529411764706,1.0,0.99601593625498,1.0,0.9836065573770492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9695817490494296,1.0,0.99601593625498
20,Exc L4-5 RORB DAPK2,7.434628227636725,0.8206106870229007,0.7042253521126759,1.0,0.9177215189873418,1.0,0.9926470588235292,1.0,0.9333333333333332,1.0,0.8636363636363635,1.0,0.8636363636363635,0.998062015503876,0.9246575342465754,1.0,0.949367088607595,1.0,0.8908045977011494,1.0,0.8908045977011494
21,Inh L4-5 SST STK32A,6.539158811108031,0.7911392405063292,0.5,1.0,0.9146341463414632,1.0,0.9339407744874716,1.0,0.988372093023256,1.0,0.9615384615384616,1.0,0.9302325581395348,0.9926470588235292,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9302325581395348
22,Inh L2-6 VIP QPCT,5.20945336562895,0.330188679245283,0.1492537313432836,1.0,0.9677419354838708,1.0,0.9433962264150944,1.0,0.9677419354838708,1.0,0.925925925925926,1.0,0.925925925925926,1.0,0.7894736842105262,1.0,0.9677419354838708,1.0,0.7692307692307692,1.0,0.8571428571428571
23,Inh L3-5 SST ADGRG6,7.0443941193584525,0.810126582278481,0.7307692307692306,1.0,0.9523809523809524,1.0,0.6410256410256411,1.0,0.9745762711864407,1.0,0.8474576271186439,1.0,0.8962264150943396,0.9894459102902374,0.9649122807017544,1.0,0.9016393442622951,1.0,0.9328358208955224,1.0,0.8582089552238806
24,Exc L3-5 RORB FILIP1L,7.257387842692652,0.7762096774193549,0.4220779220779221,1.0,0.7539682539682541,1.0,0.3488372093023256,1.0,0.7653061224489797,1.0,0.7352941176470589,1.0,0.7352941176470589,0.9837962962962964,0.6818181818181818,1.0,0.737704918032787,1.0,0.7594936708860759,1.0,0.7394366197183098
25,Inh L5-6 SST NPM1P10,6.303780748177103,0.7526881720430108,0.46875,1.0,0.8928571428571427,1.0,1.0,1.0,0.9210526315789472,1.0,0.8928571428571427,1.0,0.9523809523809524,1.0,0.9722222222222222,1.0,0.9722222222222222,1.0,0.8928571428571427,1.0,1.0
26,Exc L3-5 RORB ESR1,10.4797802640291,0.9830303030303029,0.9341057204923968,1.0,0.9902029391182646,1.0,1.0,1.0,0.994338287331918,1.0,0.9452237808951236,1.0,0.9435215946843852,0.9974305068909134,0.9929824561403509,1.0,0.9957776213933848,1.0,0.9929824561403509,1.0,0.9819569743233866
27,Inh L4-6 SST GXYLT2,5.357552004618084,0.8235294117647058,0.625,1.0,0.9722222222222222,1.0,0.7876712328767124,1.0,1.0,1.0,0.9375,1.0,0.9722222222222222,1.0,0.9375,1.0,0.9090909090909092,1.0,0.9722222222222222,1.0,1.0
28,Inh L1-3 VIP GGH,6.087462841250338,0.6829268292682927,0.3448275862068965,1.0,0.8783783783783784,1.0,0.625,1.0,0.8620689655172413,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9898477157360406,0.7352941176470588,1.0,0.9090909090909092,1.0,0.6976744186046512,1.0,0.8108108108108109
